window,contract_number,seed,build_id,build_label,boss_variant_id,archetype_ids,mechanic_ids,hp,duration_ms,target_dps,required_dps,total_damage,dps,is_win,damage_gap,required_dps_gap,blocked_damage,absorbed_damage,crit_negated_damage,dodges,cleanses,interrupts,stuns_ms
fixed_30s,1,91003,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,30000,25.028,30.871,807.0,26.9,true,173.0,-3.971,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91003,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,31000,25.028,30.871,866.0,27.9355,true,232.0,-2.9355,0.0,0.0,0.0,0,4,0,0
fixed_30s,1,91003,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,30000,25.028,30.871,933.0,31.1,true,299.0,0.229,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91003,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,31000,25.028,30.871,977.0,31.5161,true,343.0,0.6452,0.0,0.0,0.0,0,4,0,0
fixed_30s,1,91003,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,30000,25.028,30.871,989.0,32.9667,true,355.0,2.0957,0.0,0.0,0.0,0,4,0,0
generated_duration,1,91004,blade_dancer,Blade Dancer,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,49000,31.2393,44.3469,1757.0,35.8571,true,539.0,-8.4898,0.0,0.0,0.0,0,0,0,0
fixed_30s,1,91004,blade_dancer,Blade Dancer,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,30000,31.2393,44.3469,1239.0,41.3,true,21.0,-3.0469,0.0,0.0,0.0,0,0,0,0
generated_duration,1,91004,assassin,Assassin,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,49000,31.2393,44.3469,1421.0,29.0,true,203.0,-15.3469,0.0,238.0,0.0,0,0,0,0
fixed_30s,1,91004,assassin,Assassin,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,30000,31.2393,44.3469,823.0,27.4333,false,-395.0,-16.9136,0.0,140.0,0.0,0,0,0,0
generated_duration,1,91004,shadow,Shadow,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,49000,31.2393,44.3469,1503.0,30.6735,true,285.0,-13.6735,0.0,238.0,0.0,0,0,0,0
fixed_30s,1,91004,shadow,Shadow,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,30000,31.2393,44.3469,836.0,27.8667,false,-382.0,-16.4803,0.0,140.0,0.0,0,0,0,0
generated_duration,1,91004,thief,Thief,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,49000,31.2393,44.3469,2067.0,42.1837,true,849.0,-2.1633,0.0,0.0,0.0,0,0,0,0
fixed_30s,1,91004,thief,Thief,void_regent,nullify;warded,absorb;poison_resistance;suppress,1218,30000,31.2393,44.3469,1157.0,38.5667,false,-61.0,-5.7803,0.0,0.0,0.0,0,0,0,0
generated_duration,1,91005,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,59000,32.4218,40.661,1325.0,22.4576,false,-483.0,-18.2034,0.0,0.0,0.0,0,15,0,0
fixed_30s,1,91005,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,30000,32.4218,40.661,772.0,25.7333,false,-1036.0,-14.9277,0.0,0.0,0.0,0,8,0,0
generated_duration,1,91005,assassin,Assassin,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,59000,32.4218,40.661,1409.0,23.8814,false,-399.0,-16.7797,0.0,0.0,0.0,0,3,12,0
fixed_30s,1,91005,assassin,Assassin,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,30000,32.4218,40.661,817.0,27.2333,false,-991.0,-13.4277,0.0,0.0,0.0,0,2,6,0
generated_duration,1,91005,shadow,Shadow,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,59000,32.4218,40.661,1855.0,31.4407,true,47.0,-9.2203,0.0,0.0,0.0,0,8,0,0
fixed_30s,1,91005,shadow,Shadow,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,30000,32.4218,40.661,848.0,28.2667,false,-960.0,-12.3944,0.0,0.0,0.0,0,4,0,0
generated_duration,1,91005,thief,Thief,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,59000,32.4218,40.661,561.0,9.5085,false,-1247.0,-31.1525,0.0,0.0,0.0,0,3,26,0
fixed_30s,1,91005,thief,Thief,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1808,30000,32.4218,40.661,370.0,12.3333,false,-1438.0,-28.3277,0.0,0.0,0.0,0,2,12,0
generated_duration,1,91006,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,573,36000,29.1121,41.6944,766.0,21.2778,true,193.0,-20.4167,387.0,0.0,0.0,0,0,0,0
fixed_30s,1,91006,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,573,30000,29.1121,41.6944,677.0,22.5667,true,104.0,-19.1278,324.0,0.0,0.0,0,0,0,0
generated_duration,1,91006,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,573,36000,29.1121,41.6944,1495.0,41.5278,true,922.0,-0.1667,153.59,0.0,0.0,0,0,0,0
fixed_30s,1,91006,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,573,30000,29.1121,41.6944,1254.0,41.8,true,681.0,0.1056,123.86,0.0,0.0,0,0,0,0
generated_duration,1,91006,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,573,36000,29.1121,41.6944,834.0,23.1667,true,261.0,-18.5278,234.0,0.0,0.0,0,0,0,0
fixed_30s,1,91006,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,573,30000,29.1121,41.6944,722.0,24.0667,true,149.0,-17.6278,198.0,0.0,0.0,0,0,0,0
generated_duration,1,91006,thief,Thief,apex_bulwark,aegis;fortified,block;armor,573,36000,29.1121,41.6944,572.0,15.8889,false,-1.0,-25.8056,279.0,0.0,0.0,0,0,0,0
fixed_30s,1,91006,thief,Thief,apex_bulwark,aegis;fortified,block;armor,573,30000,29.1121,41.6944,512.0,17.0667,false,-61.0,-24.6278,225.0,0.0,0.0,0,0,0,0
generated_duration,1,91007,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,838,57000,26.2693,37.6316,1801.0,31.5965,true,963.0,-6.0351,426.0,0.0,0.0,0,0,0,0
fixed_30s,1,91007,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,838,30000,26.2693,37.6316,880.0,29.3333,true,42.0,-8.2982,246.0,0.0,0.0,0,0,0,0
generated_duration,1,91007,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,838,57000,26.2693,37.6316,2412.0,42.3158,true,1574.0,4.6842,168.46,0.0,0.0,0,0,0,0
fixed_30s,1,91007,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,838,30000,26.2693,37.6316,1274.0,42.4667,true,436.0,4.8351,83.57,0.0,0.0,0,0,0,0
generated_duration,1,91007,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,838,57000,26.2693,37.6316,1482.0,26.0,true,644.0,-11.6316,252.0,0.0,0.0,0,0,0,0
fixed_30s,1,91007,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,838,30000,26.2693,37.6316,723.0,24.1,false,-115.0,-13.5316,132.0,0.0,0.0,0,0,0,0
generated_duration,1,91007,thief,Thief,apex_bulwark,aegis;fortified,block;armor,838,57000,26.2693,37.6316,1079.0,18.9298,true,241.0,-18.7018,294.0,0.0,0.0,0,0,0,0
fixed_30s,1,91007,thief,Thief,apex_bulwark,aegis;fortified,block;armor,838,30000,26.2693,37.6316,584.0,19.4667,false,-254.0,-18.1649,150.0,0.0,0.0,0,0,0,0
generated_duration,1,91008,blade_dancer,Blade Dancer,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,31000,28.0077,39.7742,1133.0,36.5484,true,397.0,-3.2258,0.0,0.0,0.0,0,0,0,0
fixed_30s,1,91008,blade_dancer,Blade Dancer,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,30000,28.0077,39.7742,1302.0,43.4,true,566.0,3.6258,0.0,0.0,0.0,0,0,0,0
generated_duration,1,91008,assassin,Assassin,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,31000,28.0077,39.7742,945.0,30.4839,true,209.0,-9.2903,0.0,138.0,0.0,0,0,0,0
fixed_30s,1,91008,assassin,Assassin,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,30000,28.0077,39.7742,782.0,26.0667,true,46.0,-13.7075,0.0,132.0,0.0,0,0,0,0
generated_duration,1,91008,shadow,Shadow,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,31000,28.0077,39.7742,1033.0,33.3226,true,297.0,-6.4516,0.0,132.0,0.0,0,0,0,0
fixed_30s,1,91008,shadow,Shadow,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,30000,28.0077,39.7742,881.0,29.3667,true,145.0,-10.4075,0.0,126.0,0.0,0,0,0,0
generated_duration,1,91008,thief,Thief,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,31000,28.0077,39.7742,1175.0,37.9032,true,439.0,-1.871,0.0,0.0,0.0,0,0,0,0
fixed_30s,1,91008,thief,Thief,void_regent,nullify;warded,absorb;poison_resistance;suppress,736,30000,28.0077,39.7742,1064.0,35.4667,true,328.0,-4.3075,0.0,0.0,0.0,0,0,0,0
generated_duration,1,91009,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,39000,28.0016,35.1282,1026.0,26.3077,true,3.0,-8.8205,0.0,0.0,0.0,0,8,0,0
fixed_30s,1,91009,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,30000,28.0016,35.1282,577.0,19.2333,false,-446.0,-15.8949,0.0,0.0,0.0,0,5,0,0
generated_duration,1,91009,assassin,Assassin,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,39000,28.0016,35.1282,1135.0,29.1026,true,112.0,-6.0256,0.0,0.0,0.0,0,2,8,0
fixed_30s,1,91009,assassin,Assassin,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,30000,28.0016,35.1282,918.0,30.6,false,-105.0,-4.5282,0.0,0.0,0.0,0,1,6,0
generated_duration,1,91009,shadow,Shadow,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,39000,28.0016,35.1282,1266.0,32.4615,true,243.0,-2.6667,0.0,0.0,0.0,0,4,0,0
fixed_30s,1,91009,shadow,Shadow,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,30000,28.0016,35.1282,871.0,29.0333,false,-152.0,-6.0949,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91009,thief,Thief,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,39000,28.0016,35.1282,478.0,12.2564,false,-545.0,-22.8718,0.0,0.0,0.0,0,2,16,0
fixed_30s,1,91009,thief,Thief,chrono_tyrant,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,1023,30000,28.0016,35.1282,372.0,12.4,false,-651.0,-22.7282,0.0,0.0,0.0,0,1,12,0
generated_duration,1,91010,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,968,57000,30.8355,44.1579,1508.0,26.4561,true,540.0,-17.7018,552.0,0.0,0.0,0,0,0,0
fixed_30s,1,91010,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,968,30000,30.8355,44.1579,672.0,22.4,false,-296.0,-21.7579,312.0,0.0,0.0,0,0,0,0
generated_duration,1,91010,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,968,57000,30.8355,44.1579,2478.0,43.4737,true,1510.0,-0.6842,226.645,0.0,0.0,0,0,0,0
fixed_30s,1,91010,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,968,30000,30.8355,44.1579,1328.0,44.2667,true,360.0,0.1088,111.99,0.0,0.0,0,0,0,0
generated_duration,1,91010,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,968,57000,30.8355,44.1579,1560.0,27.3684,true,592.0,-16.7895,336.0,0.0,0.0,0,0,0,0
fixed_30s,1,91010,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,968,30000,30.8355,44.1579,699.0,23.3,false,-269.0,-20.8579,176.0,0.0,0.0,0,0,0,0
generated_duration,1,91010,thief,Thief,apex_bulwark,aegis;fortified,block;armor,968,57000,30.8355,44.1579,890.0,15.614,false,-78.0,-28.5439,392.0,0.0,0.0,0,0,0,0
fixed_30s,1,91010,thief,Thief,apex_bulwark,aegis;fortified,block;armor,968,30000,30.8355,44.1579,445.0,14.8333,false,-523.0,-29.3246,200.0,0.0,0.0,0,0,0,0
generated_duration,1,91011,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,35000,29.9909,37.0286,767.0,21.9143,false,-93.0,-15.1143,0.0,0.0,0.0,0,9,0,0
fixed_30s,1,91011,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,30000,29.9909,37.0286,682.0,22.7333,false,-178.0,-14.2952,0.0,0.0,0.0,0,7,0,0
generated_duration,1,91011,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,35000,29.9909,37.0286,1254.0,35.8286,true,394.0,-1.2,0.0,0.0,0.0,0,4,0,0
fixed_30s,1,91011,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,30000,29.9909,37.0286,1055.0,35.1667,true,195.0,-1.8619,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91011,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,35000,29.9909,37.0286,1075.0,30.7143,true,215.0,-6.3143,0.0,0.0,0.0,0,5,0,0
fixed_30s,1,91011,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,30000,29.9909,37.0286,818.0,27.2667,false,-42.0,-9.7619,0.0,0.0,0.0,0,4,0,0
generated_duration,1,91011,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,35000,29.9909,37.0286,1113.0,31.8,true,253.0,-5.2286,0.0,0.0,0.0,0,6,0,0
fixed_30s,1,91011,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,860,30000,29.9909,37.0286,1099.0,36.6333,true,239.0,-0.3952,0.0,0.0,0.0,0,5,0,0
generated_duration,1,91012,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,34000,31.0337,38.2941,891.0,26.2059,true,62.0,-12.0882,0.0,0.0,0.0,0,9,0,0
fixed_30s,1,91012,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,30000,31.0337,38.2941,631.0,21.0333,false,-198.0,-17.2608,0.0,0.0,0.0,0,7,0,0
generated_duration,1,91012,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,34000,31.0337,38.2941,1253.0,36.8529,true,424.0,-1.4412,0.0,0.0,0.0,0,4,0,0
fixed_30s,1,91012,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,30000,31.0337,38.2941,1041.0,34.7,true,212.0,-3.5941,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91012,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,34000,31.0337,38.2941,876.0,25.7647,true,47.0,-12.5294,0.0,0.0,0.0,0,5,0,0
fixed_30s,1,91012,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,30000,31.0337,38.2941,864.0,28.8,true,35.0,-9.4941,0.0,0.0,0.0,0,4,0,0
generated_duration,1,91012,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,34000,31.0337,38.2941,1140.0,33.5294,true,311.0,-4.7647,0.0,0.0,0.0,0,5,0,0
fixed_30s,1,91012,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,829,30000,31.0337,38.2941,978.0,32.6,true,149.0,-5.6941,0.0,0.0,0.0,0,5,0,0
generated_duration,1,91013,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,683.0,22.7667,true,81.0,-9.1,0.0,0.0,0.0,0,7,0,0
fixed_30s,1,91013,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,637.0,21.2333,true,35.0,-10.6333,0.0,0.0,0.0,0,7,0,0
generated_duration,1,91013,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,1046.0,34.8667,true,444.0,3.0,0.0,0.0,0.0,0,3,0,0
fixed_30s,1,91013,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,1034.0,34.4667,true,432.0,2.6,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91013,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,845.0,28.1667,true,243.0,-3.7,0.0,0.0,0.0,0,4,0,0
fixed_30s,1,91013,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,879.0,29.3,true,277.0,-2.5667,0.0,0.0,0.0,0,4,0,0
generated_duration,1,91013,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,870.0,29.0,true,268.0,-2.8667,0.0,0.0,0.0,0,5,0,0
fixed_30s,1,91013,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,602,30000,25.8117,31.8667,986.0,32.8667,true,384.0,1.0,0.0,0.0,0.0,0,5,0,0
generated_duration,1,91014,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,36000,24.6985,30.9722,735.0,20.4167,false,-98.0,-10.5556,0.0,0.0,0.0,0,7,0,0
fixed_30s,1,91014,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,30000,24.6985,30.9722,681.0,22.7,false,-152.0,-8.2722,0.0,0.0,0.0,0,5,0,0
generated_duration,1,91014,assassin,Assassin,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,36000,24.6985,30.9722,1071.0,29.75,true,238.0,-1.2222,0.0,0.0,0.0,0,1,8,0
fixed_30s,1,91014,assassin,Assassin,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,30000,24.6985,30.9722,968.0,32.2667,true,135.0,1.2944,0.0,0.0,0.0,0,1,6,0
generated_duration,1,91014,shadow,Shadow,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,36000,24.6985,30.9722,1195.0,33.1944,true,362.0,2.2222,0.0,0.0,0.0,0,4,0,0
fixed_30s,1,91014,shadow,Shadow,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,30000,24.6985,30.9722,799.0,26.6333,false,-34.0,-4.3389,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91014,thief,Thief,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,36000,24.6985,30.9722,332.0,9.2222,false,-501.0,-21.75,0.0,0.0,0.0,0,1,16,0
fixed_30s,1,91014,thief,Thief,chrono_tyrant,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,833,30000,24.6985,30.9722,423.0,14.1,false,-410.0,-16.8722,0.0,0.0,0.0,0,1,12,0
generated_duration,1,91015,blade_dancer,Blade Dancer,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,31000,29.7938,42.2903,1001.0,32.2903,true,225.0,-10.0,0.0,0.0,0.0,0,0,0,0
fixed_30s,1,91015,blade_dancer,Blade Dancer,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,30000,29.7938,42.2903,1372.0,45.7333,true,596.0,3.443,0.0,0.0,0.0,0,0,0,0
generated_duration,1,91015,assassin,Assassin,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,31000,29.7938,42.2903,1021.0,32.9355,true,245.0,-9.3548,0.0,161.0,0.0,0,0,0,0
fixed_30s,1,91015,assassin,Assassin,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,30000,29.7938,42.2903,895.0,29.8333,true,119.0,-12.457,0.0,154.0,0.0,0,0,0,0
generated_duration,1,91015,shadow,Shadow,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,31000,29.7938,42.2903,1104.0,35.6129,true,328.0,-6.6774,0.0,154.0,0.0,0,0,0,0
fixed_30s,1,91015,shadow,Shadow,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,30000,29.7938,42.2903,957.0,31.9,true,181.0,-10.3903,0.0,147.0,0.0,0,0,0,0
generated_duration,1,91015,thief,Thief,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,31000,29.7938,42.2903,1285.0,41.4516,true,509.0,-0.8387,0.0,0.0,0.0,0,0,0,0
fixed_30s,1,91015,thief,Thief,void_regent,nullify;warded,absorb;poison_resistance;suppress,776,30000,29.7938,42.2903,1322.0,44.0667,true,546.0,1.7763,0.0,0.0,0.0,0,0,0,0
generated_duration,1,91016,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,49000,25.5734,31.5714,1108.0,22.6122,true,117.0,-8.9592,0.0,0.0,0.0,0,11,0,0
fixed_30s,1,91016,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,30000,25.5734,31.5714,636.0,21.2,false,-355.0,-10.3714,0.0,0.0,0.0,0,7,0,0
generated_duration,1,91016,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,49000,25.5734,31.5714,1794.0,36.6122,true,803.0,5.0408,0.0,0.0,0.0,0,5,0,0
fixed_30s,1,91016,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,30000,25.5734,31.5714,992.0,33.0667,true,1.0,1.4952,0.0,0.0,0.0,0,3,0,0
generated_duration,1,91016,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,49000,25.5734,31.5714,1429.0,29.1633,true,438.0,-2.4082,0.0,0.0,0.0,0,7,0,0
fixed_30s,1,91016,shadow,Shadow,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,30000,25.5734,31.5714,888.0,29.6,false,-103.0,-1.9714,0.0,0.0,0.0,0,4,0,0
generated_duration,1,91016,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,49000,25.5734,31.5714,1495.0,30.5102,true,504.0,-1.0612,0.0,0.0,0.0,0,8,0,0
fixed_30s,1,91016,thief,Thief,plague_court,spiteful;hexed,cleanse_threshold;slow;suppress,991,30000,25.5734,31.5714,1022.0,34.0667,true,31.0,2.4952,0.0,0.0,0.0,0,5,0,0
