contract_number,completed_contract_count,seed,template_id,node_depth,boss_variant_id,boss_variant_label,monster_name,hp,base_hp_before_contract_scaling,contract_hp_multiplier,contract_dps_multiplier,duration_sec,hp_budget_duration_sec,target_dps,required_dps,effective_hp,mitigation_multiplier,pressure_status,archetype_ids,mechanic_ids,defense_overrides,budget,total_cost,budget_delta,major_defense_count
1,0,91011,hourglass_detour,4,plague_court,Plague Court,Spiteful Threat,860,860,1.0,1.0,35.0,35.0,29.9909,37.0286,1296,1.507,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.16,""suppress"":0.45}",228,234,6,2
1,0,91012,woven_boss_approach,3,plague_court,Plague Court,Withering Monster,829,829,1.0,1.0,34.0,34.0,31.0337,38.2941,1302,1.57,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.23,""suppress"":0.45}",228,237,9,2
1,0,91013,hourglass_detour,4,plague_court,Plague Court,Hexed Seer,602,602,1.0,1.0,30.0,30.0,25.8117,31.8667,956,1.588,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.25,""suppress"":0.45}",228,210,-18,2
1,0,91014,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Arcane Enemy,833,833,1.0,1.0,36.0,36.0,24.6985,30.9722,1115,1.339,slightly_over,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,258,30,2
1,0,91015,five_way_market,3,void_regent,Void Regent,Nullifying Threat,776,776,1.0,1.0,31.0,31.0,29.7938,42.2903,1311,1.69,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.34,""suppress"":0.32}",228,199,-29,0
1,0,91016,woven_boss_approach,3,plague_court,Plague Court,Withering Monster,991,991,1.0,1.0,49.0,49.0,25.5734,31.5714,1547,1.561,slightly_over,spiteful;hexed,cleanse_threshold;slow;suppress,"{""cleanse_threshold"":4.0,""slow"":0.22,""suppress"":0.45}",228,256,28,2
1,0,91017,split_spill_rejoin,4,void_regent,Void Regent,Hollow Vessel,726,726,1.0,1.0,31.0,31.0,28.9329,41.0323,1272,1.752,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":6.0,""poison_resistance"":0.35,""suppress"":0.42}",228,199,-29,1
1,0,91018,woven_boss_approach,3,plague_court,Plague Court,Spiteful Threat,1242,1242,1.0,1.0,50.0,50.0,32.0186,39.52,1976,1.591,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":5.0,""slow"":0.24,""suppress"":0.45}",228,284,56,2
1,0,91019,woven_boss_approach,3,chrono_tyrant,Chrono Tyrant,Devious Threat,893,893,1.0,1.0,31.0,31.0,30.3346,38.0645,1180,1.321,slightly_over,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,248,20,2
1,0,91020,five_way_market,3,apex_bulwark,Apex Bulwark,Braced Threat,720,720,1.0,1.0,48.0,48.0,27.2331,39.0,1872,2.6,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":8.0}",228,193,-35,1
1,0,91021,split_spill_rejoin,4,plague_court,Plague Court,Hexed Threat,647,647,1.0,1.0,30.0,30.0,26.7944,33.0667,992,1.534,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.19,""suppress"":0.45}",228,210,-18,2
1,0,91022,hourglass_detour,4,plague_court,Plague Court,Hexed Hexbearer,911,911,1.0,1.0,48.0,48.0,24.4149,30.1458,1447,1.588,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.25,""suppress"":0.45}",228,249,21,2
1,0,91023,split_spill_rejoin,4,apex_bulwark,Apex Bulwark,Shielded Sentinel,984,984,1.0,1.0,56.0,56.0,32.1512,46.0357,2578,2.62,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":9.0}",228,229,1,1
1,0,91024,five_way_market,3,chrono_tyrant,Chrono Tyrant,Devious Monster,1011,1011,1.0,1.0,39.0,39.0,27.0692,33.9231,1323,1.309,slightly_over,devious;arcane,slow;interrupt_skip_count;cleanse_threshold,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,267,39,2
1,0,91025,woven_boss_approach,3,void_regent,Void Regent,Warded Monster,883,883,1.0,1.0,38.0,38.0,28.5844,40.5526,1541,1.745,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":6.0,""poison_resistance"":0.35,""suppress"":0.41}",228,217,-11,1
1,0,91026,braided_sideboard,4,void_regent,Void Regent,Nullifying Threat,837,837,1.0,1.0,37.0,37.0,27.557,39.0811,1446,1.728,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.36}",228,211,-17,0
1,0,91027,elite_orbit,4,apex_bulwark,Apex Bulwark,Shielded Sentinel,923,923,1.0,1.0,60.0,60.0,28.3414,40.6167,2437,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,224,-4,1
1,0,91028,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Arcane Monster,835,835,1.0,1.0,36.0,36.0,24.5442,30.7778,1108,1.327,slightly_over,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,263,35,2
1,0,91029,woven_boss_approach,3,void_regent,Void Regent,Hollow Keeper,765,765,1.0,1.0,39.0,39.0,24.7485,35.1282,1370,1.791,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.45}",228,209,-19,1
1,0,91030,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Devious Threat,1203,1203,1.0,1.0,45.0,45.0,28.5431,35.8,1611,1.339,slightly_over,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,304,76,2
1,0,91031,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Arcane Threat,1503,1503,1.0,1.0,52.0,52.0,30.1723,37.8269,1967,1.309,slightly_over,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,329,101,2
1,0,91032,braided_sideboard,4,void_regent,Void Regent,Dimming Vessel,1317,1317,1.0,1.0,51.0,51.0,30.6848,43.5294,2220,1.686,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.3}",228,266,38,0
1,0,91033,woven_boss_approach,3,apex_bulwark,Apex Bulwark,Bulwark Sentinel,853,853,1.0,1.0,55.0,55.0,28.3566,40.6364,2235,2.62,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":9.0}",228,213,-15,1
1,0,91034,woven_boss_approach,3,apex_bulwark,Apex Bulwark,Shielded Monster,513,513,1.0,1.0,32.0,32.0,29.3317,42.0,1344,2.62,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":9.0}",228,170,-58,1
1,0,91035,woven_boss_approach,3,apex_bulwark,Apex Bulwark,Fortified Monster,900,900,1.0,1.0,58.0,58.0,27.7292,39.7241,2304,2.56,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":6.0}",228,210,-18,1
1,0,91036,five_way_market,3,void_regent,Void Regent,Dimming Keeper,768,768,1.0,1.0,32.0,32.0,27.8227,39.5,1264,1.646,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.31,""suppress"":0.3}",228,195,-33,0
1,0,91037,split_spill_rejoin,4,void_regent,Void Regent,Hollow Enemy,867,867,1.0,1.0,35.0,35.0,29.9937,42.5714,1490,1.718,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.34,""suppress"":0.36}",228,213,-15,0
1,0,91038,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Devious Monster,1730,1730,1.0,1.0,59.0,59.0,30.6127,38.3898,2265,1.309,slightly_over,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,357,129,2
1,0,91039,hourglass_detour,4,chrono_tyrant,Chrono Tyrant,Arcane Threat,1313,1313,1.0,1.0,45.0,45.0,30.4531,38.2,1719,1.309,slightly_over,devious;arcane,interrupt_skip_count;slow;cleanse_threshold,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,305,77,2
1,0,91040,split_spill_rejoin,4,void_regent,Void Regent,Hollow Enemy,724,724,1.0,1.0,30.0,30.0,28.9527,41.0667,1232,1.702,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.31,""suppress"":0.38}",228,197,-31,0
1,0,91041,split_spill_rejoin,4,apex_bulwark,Apex Bulwark,Shielded Sentinel,862,862,1.0,1.0,53.0,53.0,29.5229,42.283,2241,2.6,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":8.0}",228,211,-17,1
1,0,91042,braided_sideboard,4,plague_court,Plague Court,Hexed Enemy,918,918,1.0,1.0,37.0,37.0,31.5699,38.9459,1441,1.57,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.23,""suppress"":0.45}",228,248,20,2
1,0,91043,split_spill_rejoin,4,void_regent,Void Regent,Nullifying Keeper,1175,1175,1.0,1.0,53.0,53.0,27.1096,38.4717,2039,1.735,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.37}",228,254,26,0
1,0,91044,five_way_market,3,void_regent,Void Regent,Nullifying Keeper,829,829,1.0,1.0,34.0,34.0,29.4561,41.7941,1421,1.714,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.34}",228,209,-19,0
1,0,91045,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Arcane Monster,918,918,1.0,1.0,32.0,32.0,30.6379,38.4063,1229,1.339,slightly_over,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,269,41,2
1,0,91046,split_spill_rejoin,4,plague_court,Plague Court,Hexed Monster,1246,1246,1.0,1.0,51.0,51.0,31.0824,38.3529,1956,1.57,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.23,""suppress"":0.45}",228,289,61,2
1,0,91047,braided_sideboard,4,plague_court,Plague Court,Spiteful Monster,850,850,1.0,1.0,35.0,35.0,31.2436,38.5714,1350,1.588,slightly_over,spiteful;hexed,cleanse_threshold;slow;suppress,"{""cleanse_threshold"":4.0,""slow"":0.25,""suppress"":0.45}",228,241,13,2
1,0,91048,split_spill_rejoin,4,plague_court,Plague Court,Bitter Monster,692,692,1.0,1.0,30.0,30.0,29.3233,36.2,1086,1.57,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.23,""suppress"":0.45}",228,220,-8,2
1,0,91049,elite_orbit,4,plague_court,Plague Court,Bitter Enemy,1151,1151,1.0,1.0,55.0,55.0,25.2369,31.1636,1714,1.489,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.14,""suppress"":0.45}",228,269,41,2
1,0,91050,braided_sideboard,4,apex_bulwark,Apex Bulwark,Fortified Guard,758,758,1.0,1.0,44.0,44.0,31.0535,44.4545,1956,2.58,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":7.0}",228,195,-33,1
1,0,91051,elite_orbit,4,apex_bulwark,Apex Bulwark,Braced Enemy,590,590,1.0,1.0,37.0,37.0,29.406,42.1081,1558,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,183,-45,1
1,0,91052,elite_orbit,4,void_regent,Void Regent,Nullifying Acolyte,788,788,1.0,1.0,36.0,36.0,26.7615,37.9722,1367,1.735,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.37}",228,206,-22,0
1,0,91053,five_way_market,3,chrono_tyrant,Chrono Tyrant,Arcane Threat,1074,1074,1.0,1.0,39.0,39.0,29.0125,36.3846,1419,1.321,slightly_over,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,270,42,2
1,0,91054,elite_orbit,4,plague_court,Plague Court,Spiteful Bloom,906,906,1.0,1.0,45.0,45.0,25.8995,31.9778,1439,1.588,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.25,""suppress"":0.45}",228,248,20,2
1,0,91055,woven_boss_approach,3,void_regent,Void Regent,Nullifying Acolyte,1488,1488,1.0,1.0,58.0,58.0,32.1172,45.5862,2644,1.777,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.43}",228,298,70,1
1,0,91056,split_spill_rejoin,4,void_regent,Void Regent,Warded Acolyte,959,959,1.0,1.0,46.0,46.0,24.75,35.1087,1615,1.684,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.32,""suppress"":0.34}",228,223,-5,0
1,0,91057,split_spill_rejoin,4,plague_court,Plague Court,Withering Hexbearer,1136,1136,1.0,1.0,48.0,48.0,30.692,37.875,1818,1.6,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":5.0,""slow"":0.25,""suppress"":0.45}",228,272,44,2
1,0,91058,braided_sideboard,4,apex_bulwark,Apex Bulwark,Braced Sentinel,449,449,1.0,1.0,32.0,32.0,25.6789,36.75,1176,2.62,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":9.0}",228,162,-66,1
1,0,91059,hourglass_detour,4,void_regent,Void Regent,Nullifying Enemy,1083,1083,1.0,1.0,48.0,48.0,26.5826,37.7292,1811,1.672,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.28}",228,235,7,0
1,0,91060,split_spill_rejoin,4,apex_bulwark,Apex Bulwark,Fortified Sentinel,558,558,1.0,1.0,36.0,36.0,28.3382,40.6111,1462,2.62,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":9.0}",228,176,-52,1
1,0,91061,woven_boss_approach,3,chrono_tyrant,Chrono Tyrant,Arcane Enemy,1485,1485,1.0,1.0,50.0,50.0,31.7204,39.76,1988,1.339,slightly_over,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,340,112,2
1,0,91062,braided_sideboard,4,apex_bulwark,Apex Bulwark,Braced Threat,566,566,1.0,1.0,35.0,35.0,29.8278,42.6857,1494,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,180,-48,1
1,0,91063,hourglass_detour,4,apex_bulwark,Apex Bulwark,Shielded Sentinel,548,548,1.0,1.0,32.0,32.0,31.5797,45.2188,1447,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,178,-50,1
1,0,91064,five_way_market,3,apex_bulwark,Apex Bulwark,Fortified Guard,724,724,1.0,1.0,51.0,51.0,26.1624,37.4706,1911,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,200,-28,1
1,0,91065,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Arcane Monster,1260,1260,1.0,1.0,51.0,51.0,26.0248,32.6275,1664,1.321,slightly_over,devious;arcane,slow;cleanse_threshold;interrupt_skip_count,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,294,66,2
1,0,91066,woven_boss_approach,3,void_regent,Void Regent,Nullifying Acolyte,983,983,1.0,1.0,48.0,48.0,24.8421,35.25,1692,1.721,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.35}",228,228,0,0
1,0,91067,woven_boss_approach,3,plague_court,Plague Court,Bitter Threat,1097,1097,1.0,1.0,45.0,45.0,30.8286,38.0444,1712,1.561,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.22,""suppress"":0.45}",228,269,41,2
1,0,91068,woven_boss_approach,3,chrono_tyrant,Chrono Tyrant,Devious Monster,762,762,1.0,1.0,31.0,31.0,26.2568,32.9032,1020,1.339,slightly_over,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,249,21,2
1,0,91069,hourglass_detour,4,apex_bulwark,Apex Bulwark,Shielded Monster,903,903,1.0,1.0,60.0,60.0,27.7305,39.7333,2384,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,222,-6,1
1,0,91070,woven_boss_approach,3,plague_court,Plague Court,Hexed Threat,725,725,1.0,1.0,34.0,34.0,27.1397,33.4706,1138,1.57,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.23,""suppress"":0.45}",228,224,-4,2
1,0,91071,woven_boss_approach,3,chrono_tyrant,Chrono Tyrant,Arcane Threat,928,928,1.0,1.0,32.0,32.0,30.9667,38.8438,1243,1.339,slightly_over,devious;arcane,cleanse_threshold;slow;interrupt_skip_count,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,270,42,2
1,0,91072,split_spill_rejoin,4,apex_bulwark,Apex Bulwark,Braced Guard,441,441,1.0,1.0,31.0,31.0,25.4309,36.4194,1129,2.56,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":6.0}",228,152,-76,1
1,0,91073,five_way_market,3,apex_bulwark,Apex Bulwark,Fortified Gatekeeper,869,869,1.0,1.0,55.0,55.0,29.1272,41.7091,2294,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,218,-10,1
1,0,91074,five_way_market,3,apex_bulwark,Apex Bulwark,Shielded Enemy,953,953,1.0,1.0,58.0,58.0,29.6019,42.3966,2459,2.58,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":7.0}",228,219,-9,1
1,0,91075,braided_sideboard,4,plague_court,Plague Court,Spiteful Threat,1327,1327,1.0,1.0,59.0,59.0,28.2752,34.9153,2060,1.552,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":4.0,""slow"":0.21,""suppress"":0.45}",228,297,69,2
1,0,91076,elite_orbit,4,void_regent,Void Regent,Dimming Monster,1379,1379,1.0,1.0,53.0,53.0,30.8701,43.8113,2322,1.684,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.32,""suppress"":0.34}",228,275,47,0
1,0,91077,split_spill_rejoin,4,apex_bulwark,Apex Bulwark,Braced Gatekeeper,538,538,1.0,1.0,34.0,34.0,28.9592,41.4706,1410,2.62,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":9.0}",228,173,-55,1
1,0,91078,braided_sideboard,4,void_regent,Void Regent,Dimming Keeper,1116,1116,1.0,1.0,44.0,44.0,31.1866,44.2273,1946,1.744,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.31,""suppress"":0.44}",228,250,22,1
1,0,91079,five_way_market,3,plague_court,Plague Court,Withering Monster,879,879,1.0,1.0,35.0,35.0,31.0283,38.2857,1340,1.525,slightly_over,spiteful;hexed,cleanse_threshold;slow;suppress,"{""cleanse_threshold"":4.0,""slow"":0.18,""suppress"":0.45}",228,238,10,2
1,0,91080,woven_boss_approach,3,apex_bulwark,Apex Bulwark,Braced Monster,529,529,1.0,1.0,39.0,39.0,24.6122,35.2564,1375,2.6,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":8.0}",228,169,-59,1
2,1,101001,five_way_market,3,plague_court,Plague Court,Hexed Enemy,1342,1193,1.125,1.3,36.0,36.0,41.9852,58.3056,2099,1.564,over_band,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":5.0,""slow"":0.21,""suppress"":0.45}",228,294,66,2
2,1,101002,woven_boss_approach,3,chrono_tyrant,Chrono Tyrant,Arcane Threat,1752,1557,1.125,1.3,45.0,45.0,36.9391,52.1333,2346,1.339,over_band,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,373,145,2
2,1,101003,split_spill_rejoin,4,chrono_tyrant,Chrono Tyrant,Devious Monster,1717,1526,1.125,1.3,48.0,48.0,33.5004,47.25,2268,1.321,over_band,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,351,123,2
2,1,101004,woven_boss_approach,3,chrono_tyrant,Chrono Tyrant,Arcane Threat,1419,1261,1.125,1.3,38.0,38.0,35.1225,49.5526,1883,1.327,over_band,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,336,108,2
2,1,101005,braided_sideboard,4,chrono_tyrant,Chrono Tyrant,Devious Monster,1648,1465,1.125,1.3,45.0,45.0,34.7637,49.0444,2207,1.339,over_band,devious;arcane,slow;interrupt_skip_count;cleanse_threshold,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,360,132,2
2,1,101006,braided_sideboard,4,chrono_tyrant,Chrono Tyrant,Arcane Enemy,1405,1249,1.125,1.3,32.0,32.0,40.7421,57.4688,1839,1.309,over_band,devious;arcane,cleanse_threshold;slow;interrupt_skip_count,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,317,89,2
2,1,101007,split_spill_rejoin,4,apex_bulwark,Apex Bulwark,Fortified Enemy,1357,1206,1.125,1.3,53.0,53.0,41.3027,66.566,3528,2.6,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":8.0}",228,273,45,1
2,1,101008,five_way_market,3,chrono_tyrant,Chrono Tyrant,Arcane Threat,2176,1934,1.125,1.3,53.0,53.0,38.0899,53.7358,2848,1.309,over_band,devious;arcane,interrupt_skip_count;slow;cleanse_threshold,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,413,185,2
2,1,101009,split_spill_rejoin,4,apex_bulwark,Apex Bulwark,Shielded Guard,946,841,1.125,1.3,45.0,45.0,33.9218,54.6667,2460,2.6,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":8.0}",228,221,-7,1
2,1,101010,woven_boss_approach,3,chrono_tyrant,Chrono Tyrant,Devious Enemy,1521,1352,1.125,1.3,39.0,39.0,37.0048,52.2308,2037,1.339,over_band,devious;arcane,slow;interrupt_skip_count;cleanse_threshold,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,344,116,2
2,1,101011,split_spill_rejoin,4,chrono_tyrant,Chrono Tyrant,Arcane Threat,1341,1192,1.125,1.3,34.0,34.0,37.4378,52.8235,1796,1.339,over_band,devious;arcane,cleanse_threshold;slow;interrupt_skip_count,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,322,94,2
2,1,101012,braided_sideboard,4,void_regent,Void Regent,Warded Vessel,2171,1930,1.125,1.3,59.0,59.0,39.2096,62.5932,3693,1.701,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":6.0,""poison_resistance"":0.32,""suppress"":0.39}",228,374,146,0
